name,market,trade_id,entry_date,entry_price,exit_date,exit_price,holding_days,pnl,pnl_pct,result
信达生物,港股,1,2025-08-19,101.9,2025-09-01,98.65,9,-3.25,-3.19,亏损
信达生物,港股,2,2025-09-03,107.0,2025-09-15,98.5,8,-8.5,-7.94,亏损
信达生物,港股,3,2025-10-03,101.8,2025-10-15,85.05,7,-16.75,-16.45,亏损
信达生物,港股,4,2025-11-06,87.2,2025-12-09,85.6,23,-1.6,-1.83,亏损
信达生物,港股,5,2026-01-08,89.8,2026-01-23,82.0,11,-7.8,-8.69,亏损
信达生物,港股,6,2026-02-11,90.9,2026-03-03,82.5,11,-8.4,-9.24,亏损
信达生物,港股,7,2026-03-17,85.0,2026-03-25,83.6,6,-1.4,-1.65,亏损
信达生物,港股,8,2026-03-31,86.7,2026-04-24,83.0,15,-3.7,-4.27,亏损
信达生物,港股,9,2026-05-06,92.0,2026-05-18,82.0,8,-10.0,-10.87,亏损
信达生物,港股,10,2026-06-23,74.65,2026-07-10,89.7,12,15.05,20.16,未平仓
